date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	1	0			
2020-03-07	2	0			
2020-03-08	2	0			
2020-03-09	2	0			
2020-03-10	2	0			
2020-03-11	2	0			
2020-03-12	2	0			
2020-03-13	2	0			
2020-03-14	2	0			
2020-03-15	2	0			
2020-03-16	2	0			
2020-03-17	3	0			
2020-03-18	3	0			
2020-03-19	30	0			
2020-03-20	33	0			
2020-03-21	41	0			
2020-03-22	49	0			
2020-03-23	63	0			
2020-03-24	76	0			
2020-03-25	84	0			
2020-03-26	104	0			
2020-03-27	115	0			
2020-03-28	127	0			
2020-03-29	154	1			
2020-03-30	176	1			
2020-03-31	213	2			
2020-04-01	246	2			
2020-04-02	267	3			
2020-04-03	282	5			
2020-04-04	332	7			
2020-04-05	401	9			
2020-04-06	431	10			
2020-04-07	456	12			
2020-04-08	497	15			
2020-04-09	559	19			
2020-04-10	604	19			
2020-04-11	635	21			
2020-04-12	673	21			
2020-04-13	723	22			
2020-04-14	759	22			
2020-04-15	807	27			
2020-04-16	951	30			
2020-04-17	1059	36			
2020-04-18	1193	37			
2020-04-19	1230	45			
2020-04-20	1341	46			
2020-04-21	1489	47			
2020-04-22	1644	50			
2020-04-23	1789	59			
2020-04-24	1962	64			
2020-04-25	2081	70			
2020-04-26	2209	73			
2020-04-27	2354	76			
2020-04-28	2540	86			
2020-04-29	2646	96			
2020-04-30	2851	104			
