date	cont	obt
2020-01-30	0	0
2020-01-31	0	0
2020-02-01	0	0
2020-02-02	0	0
2020-02-03	0	0
2020-02-04	0	0
2020-02-05	0	0
2020-02-06	0	0
2020-02-07	0	0
2020-02-08	0	0
2020-02-09	0	0
2020-02-10	0	0
2020-02-11	0	0
2020-02-12	0	0
2020-02-13	0	0
2020-02-14	0	0
2020-02-15	0	0
2020-02-16	0	0
2020-02-17	0	0
2020-02-18	0	0
2020-02-19	0	0
2020-02-20	0	0
2020-02-21	0	0
2020-02-22	0	0
2020-02-23	0	0
2020-02-24	0	0
2020-02-25	0	0
2020-02-26	1	0
2020-02-27	1	0
2020-02-28	1	0
2020-02-29	2	0
2020-03-01	2	0
2020-03-02	2	0
2020-03-03	2	0
2020-03-04	3	0
2020-03-05	7	0
2020-03-06	13	0
2020-03-07	19	0
2020-03-08	25	0
2020-03-09	25	0
2020-03-10	34	0
2020-03-11	52	0
2020-03-12	77	0
2020-03-13	98	0
2020-03-14	121	0
2020-03-15	200	0
2020-03-16	234	0
2020-03-17	291	1
2020-03-18	428	4
2020-03-19	621	6
2020-03-20	904	11
2020-03-21	1128	18
2020-03-22	1546	25
2020-03-23	1891	34
2020-03-24	2201	46
2020-03-25	2433	57
2020-03-26	2915	77
2020-03-27	3417	92
2020-03-28	3904	114
2020-03-29	4256	136
2020-03-30	4579	159
2020-03-31	5717	201
2020-04-01	6836	241
2020-04-02	7910	299
2020-04-03	9056	359
2020-04-04	10278	432
2020-04-05	11130	486
2020-04-06	12056	553
2020-04-07	13717	667
2020-04-08	15927	800
2020-04-09	17857	941
2020-04-10	19638	1056
2020-04-11	20727	1124
2020-04-12	22169	1223
2020-04-13	23430	1328
2020-04-14	25262	1532
2020-04-15	28320	1736
2020-04-16	30425	1924
2020-04-17	33682	2141
2020-04-18	36599	2347
2020-04-19	38654	2462
2020-04-20	40581	2575
2020-04-21	43079	2741
2020-04-22	45757	2906
2020-04-23	49492	3313
2020-04-24	52995	3670
2020-04-25	58509	4016
2020-04-26	61888	4205
2020-04-27	66501	4543
2020-04-28	71886	5017
2020-04-29	78162	5466
2020-04-30	85380	5901
