date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	1	0			
2020-03-09	1	0			
2020-03-10	1	0			
2020-03-11	1	0			
2020-03-12	1	0			
2020-03-13	1	0			
2020-03-14	1	0			
2020-03-15	1	0			
2020-03-16	1	0			
2020-03-17	1	0			
2020-03-18	1	0			
2020-03-19	4	0			
2020-03-20	5	0			
2020-03-21	7	0			
2020-03-22	7	0			
2020-03-23	7	0			
2020-03-24	9	0			
2020-03-25	11	0			
2020-03-26	11	0			
2020-03-27	11	0			
2020-03-28	14	0			
2020-03-29	17	0			
2020-03-30	17	0			
2020-03-31	18	1			
2020-04-01	18	1			
2020-04-02	18	1			
2020-04-03	22	2			
2020-04-04	23	2			
2020-04-05	28	2			
2020-04-06	31	2			
2020-04-07	32	2			
2020-04-08	37	2			
2020-04-09	37	3			
2020-04-10	45	3			
2020-04-11	48	3			
2020-04-12	48	3			
2020-04-13	50	3			
2020-04-14	72	4			
2020-04-15	82	5			
2020-04-16	89	5			
2020-04-17	110	7			
2020-04-18	132	7			
2020-04-19	159	15			
2020-04-20	171	18			
2020-04-21	210	19			
2020-04-22	243	20			
2020-04-23	324	22			
2020-04-24	413	27			
2020-04-25	501	29			
2020-04-26	554	32			
2020-04-27	643	34			
2020-04-28	777	36			
2020-04-29	957	41			
2020-04-30	1044	47			
