date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	0	0			
2020-03-09	0	0			
2020-03-10	0	0			
2020-03-11	0	0			
2020-03-12	0	0			
2020-03-13	0	0			
2020-03-14	0	0			
2020-03-15	1	0			
2020-03-16	1	0			
2020-03-17	1	0			
2020-03-18	1	0			
2020-03-19	3	0			
2020-03-20	3	0			
2020-03-21	11	0			
2020-03-22	26	0			
2020-03-23	32	0			
2020-03-24	47	0			
2020-03-25	54	1			
2020-03-26	67	1			
2020-03-27	81	1			
2020-03-28	111	1			
2020-03-29	140	1			
2020-03-30	151	1			
2020-03-31	175	3			
2020-04-01	200	3			
2020-04-02	229	3			
2020-04-03	260	7			
2020-04-04	311	12			
2020-04-05	417	14			
2020-04-06	532	19			
2020-04-07	636	23			
2020-04-08	804	30			
2020-04-09	899	40			
2020-04-10	981	50			
2020-04-11	1050	53			
2020-04-12	1206	62			
2020-04-13	1275	71			
2020-04-14	1484	90			
2020-04-15	1554	106			
2020-04-16	1719	124			
2020-04-17	1809	145			
2020-04-18	1897	161			
2020-04-19	2044	182			
2020-04-20	2160	185			
2020-04-21	2270	193			
2020-04-22	2479	207			
2020-04-23	2888	234			
2020-04-24	3194	255			
2020-04-25	3635	287			
2020-04-26	3833	304			
2020-04-27	3928	320			
2020-04-28	4337	351			
2020-04-29	4801	380			
2020-04-30	5254	425			
