date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	0	0			
2020-03-09	0	0			
2020-03-10	0	0			
2020-03-11	0	0			
2020-03-12	0	0			
2020-03-13	0	0			
2020-03-14	0	0			
2020-03-15	1	0			
2020-03-16	1	0			
2020-03-17	4	0			
2020-03-18	5	0			
2020-03-19	6	0			
2020-03-20	6	0			
2020-03-21	10	0			
2020-03-22	10	0			
2020-03-23	10	0			
2020-03-24	15	0			
2020-03-25	16	0			
2020-03-26	16	0			
2020-03-27	16	0			
2020-03-28	16	0			
2020-03-29	16	0			
2020-03-30	16	0			
2020-03-31	19	0			
2020-04-01	20	0			
2020-04-02	23	2			
2020-04-03	25	2			
2020-04-04	27	2			
2020-04-05	32	3			
2020-04-06	32	4			
2020-04-07	36	4			
2020-04-08	36	4			
2020-04-09	39	4			
2020-04-10	42	4			
2020-04-11	42	4			
2020-04-12	44	4			
2020-04-13	44	4			
2020-04-14	45	4			
2020-04-15	46	4			
2020-04-16	48	4			
2020-04-17	53	4			
2020-04-18	71	5			
2020-04-19	83	5			
2020-04-20	86	5			
2020-04-21	92	5			
2020-04-22	117	7			
2020-04-23	124	8			
2020-04-24	144	8			
2020-04-25	153	9			
2020-04-26	159	9			
2020-04-27	197	10			
2020-04-28	280	11			
2020-04-29	337	12			
2020-04-30	447	12			
