date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	1	0			
2020-03-07	1	0			
2020-03-08	1	0			
2020-03-09	1	0			
2020-03-10	1	0			
2020-03-11	1	0			
2020-03-12	1	0			
2020-03-13	1	0			
2020-03-14	1	0			
2020-03-15	1	0			
2020-03-16	1	0			
2020-03-17	1	0			
2020-03-18	9	0			
2020-03-19	11	0			
2020-03-20	13	0			
2020-03-21	26	0			
2020-03-22	26	0			
2020-03-23	29	0			
2020-03-24	33	0			
2020-03-25	39	0			
2020-03-26	39	0			
2020-03-27	47	0			
2020-03-28	53	0			
2020-03-29	60	0			
2020-03-30	72	0			
2020-03-31	84	0			
2020-04-01	96	0			
2020-04-02	120	1			
2020-04-03	139	4			
2020-04-04	153	5			
2020-04-05	166	6			
2020-04-06	194	6			
2020-04-07	209	6			
2020-04-08	227	6			
2020-04-09	273	6			
2020-04-10	300	7			
2020-04-11	349	9			
2020-04-12	383	9			
2020-04-13	430	14			
2020-04-14	463	17			
2020-04-15	557	18			
2020-04-16	754	22			
2020-04-17	856	25			
2020-04-18	952	28			
2020-04-19	1099	30			
2020-04-20	1168	33			
2020-04-21	1212	34			
2020-04-22	1313	34			
2020-04-23	1363	42			
2020-04-24	1381	42			
2020-04-25	1595	47			
2020-04-26	1703	51			
2020-04-27	1796	57			
2020-04-28	1874	64			
2020-04-29	2107	76			
2020-04-30	2465	83			
