date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	0	0			
2020-03-09	0	0			
2020-03-10	0	0			
2020-03-11	0	0			
2020-03-12	0	0			
2020-03-13	0	0			
2020-03-14	0	0			
2020-03-15	0	0			
2020-03-16	0	0			
2020-03-17	0	0			
2020-03-18	0	0			
2020-03-19	1	0			
2020-03-20	1	0			
2020-03-21	1	0			
2020-03-22	1	0			
2020-03-23	2	0			
2020-03-24	3	0			
2020-03-25	3	0			
2020-03-26	5	0			
2020-03-27	9	0			
2020-03-28	14	0			
2020-03-29	14	0			
2020-03-30	15	0			
2020-03-31	17	0			
2020-04-01	20	1			
2020-04-02	21	1			
2020-04-03	29	1			
2020-04-04	32	2			
2020-04-05	34	4			
2020-04-06	35	4			
2020-04-07	36	4			
2020-04-08	41	4			
2020-04-09	55	7			
2020-04-10	79	11			
2020-04-11	85	11			
2020-04-12	101	13			
2020-04-13	111	13			
2020-04-14	136	16			
2020-04-15	151	21			
2020-04-16	165	24			
2020-04-17	195	26			
2020-04-18	205	26			
2020-04-19	236	29			
2020-04-20	245	32			
2020-04-21	263	33			
2020-04-22	301	39			
2020-04-23	345	40			
2020-04-24	386	44			
2020-04-25	447	46			
2020-04-26	499	49			
2020-04-27	543	50			
2020-04-28	633	53			
2020-04-29	699	58			
2020-04-30	814	62			
