date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	0	0			
2020-03-09	0	0			
2020-03-10	0	0			
2020-03-11	0	0			
2020-03-12	0	0			
2020-03-13	0	0			
2020-03-14	0	0			
2020-03-15	0	0			
2020-03-16	0	0			
2020-03-17	0	0			
2020-03-18	0	0			
2020-03-19	0	0			
2020-03-20	0	0			
2020-03-21	1	0			
2020-03-22	2	0			
2020-03-23	2	0			
2020-03-24	8	0			
2020-03-25	8	0			
2020-03-26	10	0			
2020-03-27	13	0			
2020-03-28	14	0			
2020-03-29	16	0			
2020-03-30	23	1			
2020-03-31	31	1			
2020-04-01	52	1			
2020-04-02	71	1			
2020-04-03	81	1			
2020-04-04	88	1			
2020-04-05	96	2			
2020-04-06	133	2			
2020-04-07	172	4			
2020-04-08	230	11			
2020-04-09	273	12			
2020-04-10	293	16			
2020-04-11	344	21			
2020-04-12	398	24			
2020-04-13	445	27			
2020-04-14	478	32			
2020-04-15	630	34			
2020-04-16	695	37			
2020-04-17	797	40			
2020-04-18	1040	44			
2020-04-19	1205	48			
2020-04-20	1320	54			
2020-04-21	1396	60			
2020-04-22	1604	66			
2020-04-23	1757	76			
2020-04-24	1951	88			
2020-04-25	2105	100			
2020-04-26	2223	112			
2020-04-27	2410	125			
2020-04-28	2528	145			
2020-04-29	2804	166			
2020-04-30	3190	184			
