date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	0	0			
2020-03-09	0	0			
2020-03-10	0	0			
2020-03-11	0	0			
2020-03-12	0	0			
2020-03-13	0	0			
2020-03-14	0	0			
2020-03-15	0	0			
2020-03-16	0	0			
2020-03-17	0	0			
2020-03-18	0	0			
2020-03-19	0	0			
2020-03-20	0	0			
2020-03-21	0	0			
2020-03-22	2	0			
2020-03-23	2	0			
2020-03-24	2	0			
2020-03-25	8	0			
2020-03-26	8	0			
2020-03-27	10	0			
2020-03-28	12	0			
2020-03-29	16	0			
2020-03-30	16	0			
2020-03-31	16	0			
2020-04-01	22	0			
2020-04-02	26	0			
2020-04-03	30	0			
2020-04-04	37	1			
2020-04-05	42	1			
2020-04-06	42	1			
2020-04-07	42	1			
2020-04-08	49	1			
2020-04-09	52	1			
2020-04-10	63	3			
2020-04-11	75	3			
2020-04-12	79	3			
2020-04-13	83	3			
2020-04-14	113	3			
2020-04-15	114	3			
2020-04-16	142	3			
2020-04-17	164	3			
2020-04-18	201	3			
2020-04-19	222	3			
2020-04-20	244	3			
2020-04-21	247	3			
2020-04-22	280	3			
2020-04-23	297	3			
2020-04-24	304	3			
2020-04-25	345	3			
2020-04-26	401	4			
2020-04-27	407	4			
2020-04-28	425	6			
2020-04-29	452	6			
2020-04-30	519	7			
