date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	0	0			
2020-03-09	0	0			
2020-03-10	0	0			
2020-03-11	0	0			
2020-03-12	2	0			
2020-03-13	2	0			
2020-03-14	2	0			
2020-03-15	2	0			
2020-03-16	2	0			
2020-03-17	16	0			
2020-03-18	16	0			
2020-03-19	28	0			
2020-03-20	30	0			
2020-03-21	30	0			
2020-03-22	37	0			
2020-03-23	42	0			
2020-03-24	42	0			
2020-03-25	46	1			
2020-03-26	48	3			
2020-03-27	56	4			
2020-03-28	68	5			
2020-03-29	73	5			
2020-03-30	78	6			
2020-03-31	87	6			
2020-04-01	95	8			
2020-04-02	106	9			
2020-04-03	136	10			
2020-04-04	176	14			
2020-04-05	201	21			
2020-04-06	223	30			
2020-04-07	352	34			
2020-04-08	401	46			
2020-04-09	555	56			
2020-04-10	684	65			
2020-04-11	816	72			
2020-04-12	960	85			
2020-04-13	1154	102			
2020-04-14	1284	115			
2020-04-15	1484	143			
2020-04-16	1683	160			
2020-04-17	2006	186			
2020-04-18	2193	205			
2020-04-19	2459	216			
2020-04-20	2690	234			
2020-04-21	2908	260			
2020-04-22	3298	282			
2020-04-23	3519	312			
2020-04-24	3999	352			
2020-04-25	4507	381			
2020-04-26	4898	415			
2020-04-27	5358	450			
2020-04-28	5724	508			
2020-04-29	6194	538			
2020-04-30	6876	565			
