date	cont	obt
2020-01-22	0	0
2020-01-23	0	0
2020-01-24	0	0
2020-01-25	0	0
2020-01-26	0	0
2020-01-27	0	0
2020-01-28	0	0
2020-01-29	0	0
2020-01-30	0	0
2020-01-31	0	0
2020-02-01	0	0
2020-02-02	0	0
2020-02-03	0	0
2020-02-04	0	0
2020-02-05	0	0
2020-02-06	0	0
2020-02-07	0	0
2020-02-08	0	0
2020-02-09	0	0
2020-02-10	0	0
2020-02-11	0	0
2020-02-12	0	0
2020-02-13	0	0
2020-02-14	0	0
2020-02-15	0	0
2020-02-16	0	0
2020-02-17	0	0
2020-02-18	0	0
2020-02-19	0	0
2020-02-20	0	0
2020-02-21	0	0
2020-02-22	0	0
2020-02-23	0	0
2020-02-24	0	0
2020-02-25	0	0
2020-02-26	0	0
2020-02-27	0	0
2020-02-28	0	0
2020-02-29	0	0
2020-03-01	1	0
2020-03-02	1	0
2020-03-03	1	0
2020-03-04	1	0
2020-03-05	1	0
2020-03-06	3	0
2020-03-07	3	0
2020-03-08	10	0
2020-03-09	14	0
2020-03-10	15	0
2020-03-11	29	1
2020-03-12	45	1
2020-03-13	70	1
2020-03-14	93	1
2020-03-15	105	1
2020-03-16	132	2
2020-03-17	174	3
2020-03-18	206	4
2020-03-19	282	7
2020-03-20	391	7
2020-03-21	577	8
2020-03-22	829	11
2020-03-23	951	14
2020-03-24	1059	17
2020-03-25	1300	24
2020-03-26	1595	26
2020-03-27	1876	39
2020-03-28	2252	54
2020-03-29	2595	70
2020-03-30	2826	85
2020-03-31	3278	103
2020-04-01	3558	117
2020-04-02	3923	127
2020-04-03	4277	142
2020-04-04	4601	151
2020-04-05	5061	182
2020-04-06	5432	201
2020-04-07	5778	219
2020-04-08	6204	239
2020-04-09	6880	260
2020-04-10	7536	273
2020-04-11	8012	292
2020-04-12	8583	341
2020-04-13	9059	356
2020-04-14	9333	370
2020-04-15	9909	388
2020-04-16	10343	411
2020-04-17	11097	435
2020-04-18	11640	466
2020-04-19	12164	482
2020-04-20	12816	500
2020-04-21	13179	523
2020-04-22	13730	547
2020-04-23	14502	570
2020-04-24	15107	595
2020-04-25	15649	615
2020-04-26	16234	631
2020-04-27	16764	641
2020-04-28	17007	650
2020-04-29	17769	673
2020-04-30	18410	703
